Checkpoint saved!
Episode # 910  |  Val. Score: -0.50  |  Avg. Val. Score: -0.40  |  Epsilon: 0.581  |  Time elapsed: 424.94s
Episode # 920  |  Val. Score: -0.60  |  Avg. Val. Score: -0.41  |  Epsilon: 0.579  |  Time elapsed: 429.84s
Episode # 930  |  Val. Score: -0.50  |  Avg. Val. Score: -0.41  |  Epsilon: 0.578  |  Time elapsed: 433.79s
Episode # 940  |  Val. Score: -0.70  |  Avg. Val. Score: -0.41  |  Epsilon: 0.576  |  Time elapsed: 438.48s
Episode # 950  |  Val. Score: -1.00  |  Avg. Val. Score: -0.42  |  Epsilon: 0.574  |  Time elapsed: 443.94s
Episode # 960  |  Val. Score: -0.60  |  Avg. Val. Score: -0.42  |  Epsilon: 0.572  |  Time elapsed: 449.00s
Episode # 970  |  Val. Score: +0.00  |  Avg. Val. Score: -0.41  |  Epsilon: 0.570  |  Time elapsed: 454.71s
Episode # 980  |  Val. Score: -0.90  |  Avg. Val. Score: -0.42  |  Epsilon: 0.568  |  Time elapsed: 460.44s
Episode # 990  |  Val. Score: -0.20  |  Avg. Val. Score: -0.42  |  Epsilon: 0.566  |  Time elapsed: 465.46s
Episode #1000  |  Val. Score: -0.40  |  Avg. Val. Score: -0.42  |  Epsilon: 0.565  |  Time elapsed: 470.14s
Checkpoint saved!
Episode #1010  |  Val. Score: +0.00  |  Avg. Val. Score: -0.42  |  Epsilon: 0.563  |  Time elapsed: 476.81s
Episode #1020  |  Val. Score: -0.80  |  Avg. Val. Score: -0.43  |  Epsilon: 0.560  |  Time elapsed: 483.52s
Episode #1030  |  Val. Score: -0.70  |  Avg. Val. Score: -0.44  |  Epsilon: 0.557  |  Time elapsed: 488.91s
Episode #1040  |  Val. Score: -0.80  |  Avg. Val. Score: -0.46  |  Epsilon: 0.554  |  Time elapsed: 495.85s
Episode #1050  |  Val. Score: -0.20  |  Avg. Val. Score: -0.47  |  Epsilon: 0.553  |  Time elapsed: 500.97s
Episode #1060  |  Val. Score: -0.10  |  Avg. Val. Score: -0.47  |  Epsilon: 0.550  |  Time elapsed: 509.85s
Episode #1070  |  Val. Score: -0.30  |  Avg. Val. Score: -0.48  |  Epsilon: 0.546  |  Time elapsed: 516.24s
Episode #1080  |  Val. Score: -0.20  |  Avg. Val. Score: -0.47  |  Epsilon: 0.543  |  Time elapsed: 521.12s
Episode #1090  |  Val. Score: +0.30  |  Avg. Val. Score: -0.48  |  Epsilon: 0.539  |  Time elapsed: 527.44s
Episode #1100  |  Val. Score: -0.60  |  Avg. Val. Score: -0.49  |  Epsilon: 0.538  |  Time elapsed: 531.08s
Checkpoint saved!
Episode #1110  |  Val. Score: -0.20  |  Avg. Val. Score: -0.49  |  Epsilon: 0.536  |  Time elapsed: 537.82s
Episode #1120  |  Val. Score: -0.80  |  Avg. Val. Score: -0.50  |  Epsilon: 0.532  |  Time elapsed: 546.47s
Episode #1130  |  Val. Score: -0.50  |  Avg. Val. Score: -0.50  |  Epsilon: 0.529  |  Time elapsed: 552.44s
Episode #1140  |  Val. Score: -0.60  |  Avg. Val. Score: -0.51  |  Epsilon: 0.527  |  Time elapsed: 558.51s
Episode #1150  |  Val. Score: -0.40  |  Avg. Val. Score: -0.50  |  Epsilon: 0.524  |  Time elapsed: 565.06s
Episode #1160  |  Val. Score: -0.10  |  Avg. Val. Score: -0.51  |  Epsilon: 0.520  |  Time elapsed: 572.58s
Episode #1170  |  Val. Score: -0.80  |  Avg. Val. Score: -0.51  |  Epsilon: 0.517  |  Time elapsed: 579.64s
Episode #1180  |  Val. Score: -1.00  |  Avg. Val. Score: -0.53  |  Epsilon: 0.514  |  Time elapsed: 585.25s
Episode #1190  |  Val. Score: -0.30  |  Avg. Val. Score: -0.53  |  Epsilon: 0.511  |  Time elapsed: 590.16s
Episode #1200  |  Val. Score: +0.00  |  Avg. Val. Score: -0.53  |  Epsilon: 0.509  |  Time elapsed: 595.43s
Checkpoint saved!
Episode #1210  |  Val. Score: -0.50  |  Avg. Val. Score: -0.53  |  Epsilon: 0.508  |  Time elapsed: 601.08s
Episode #1220  |  Val. Score: -0.80  |  Avg. Val. Score: -0.54  |  Epsilon: 0.504  |  Time elapsed: 606.34s
Episode #1230  |  Val. Score: -0.70  |  Avg. Val. Score: -0.54  |  Epsilon: 0.502  |  Time elapsed: 613.39s
Episode #1240  |  Val. Score: -0.60  |  Avg. Val. Score: -0.54  |  Epsilon: 0.498  |  Time elapsed: 621.77s
Episode #1250  |  Val. Score: -0.40  |  Avg. Val. Score: -0.54  |  Epsilon: 0.495  |  Time elapsed: 628.79s
Episode #1260  |  Val. Score: -0.50  |  Avg. Val. Score: -0.54  |  Epsilon: 0.492  |  Time elapsed: 633.70s
Episode #1270  |  Val. Score: -0.70  |  Avg. Val. Score: -0.55  |  Epsilon: 0.489  |  Time elapsed: 639.49s
Episode #1280  |  Val. Score: -0.30  |  Avg. Val. Score: -0.54  |  Epsilon: 0.486  |  Time elapsed: 644.55s
Episode #1290  |  Val. Score: -0.70  |  Avg. Val. Score: -0.55  |  Epsilon: 0.484  |  Time elapsed: 649.28s
Episode #1300  |  Val. Score: -0.30  |  Avg. Val. Score: -0.54  |  Epsilon: 0.481  |  Time elapsed: 654.84s
Checkpoint saved!
Episode #1310  |  Val. Score: -0.70  |  Avg. Val. Score: -0.55  |  Epsilon: 0.478  |  Time elapsed: 660.57s
Episode #1320  |  Val. Score: -0.60  |  Avg. Val. Score: -0.55  |  Epsilon: 0.475  |  Time elapsed: 667.05s
Episode #1330  |  Val. Score: -0.80  |  Avg. Val. Score: -0.55  |  Epsilon: 0.472  |  Time elapsed: 672.98s
Episode #1340  |  Val. Score: -0.80  |  Avg. Val. Score: -0.55  |  Epsilon: 0.468  |  Time elapsed: 680.06s
Episode #1350  |  Val. Score: -0.90  |  Avg. Val. Score: -0.55  |  Epsilon: 0.466  |  Time elapsed: 688.37s
Episode #1360  |  Val. Score: -0.70  |  Avg. Val. Score: -0.55  |  Epsilon: 0.463  |  Time elapsed: 696.88s
Episode #1370  |  Val. Score: -0.10  |  Avg. Val. Score: -0.54  |  Epsilon: 0.461  |  Time elapsed: 703.22s
Episode #1380  |  Val. Score: -0.80  |  Avg. Val. Score: -0.54  |  Epsilon: 0.457  |  Time elapsed: 707.68s
Episode #1390  |  Val. Score: -1.00  |  Avg. Val. Score: -0.54  |  Epsilon: 0.455  |  Time elapsed: 711.70s
Episode #1400  |  Val. Score: -0.90  |  Avg. Val. Score: -0.55  |  Epsilon: 0.453  |  Time elapsed: 717.90s
Checkpoint saved!
Episode #1410  |  Val. Score: -0.90  |  Avg. Val. Score: -0.55  |  Epsilon: 0.449  |  Time elapsed: 726.51s
Episode #1420  |  Val. Score: -0.50  |  Avg. Val. Score: -0.55  |  Epsilon: 0.447  |  Time elapsed: 734.65s
Episode #1430  |  Val. Score: -0.60  |  Avg. Val. Score: -0.55  |  Epsilon: 0.444  |  Time elapsed: 742.48s
Episode #1440  |  Val. Score: -0.70  |  Avg. Val. Score: -0.55  |  Epsilon: 0.442  |  Time elapsed: 750.05s
Episode #1450  |  Val. Score: -0.50  |  Avg. Val. Score: -0.54  |  Epsilon: 0.440  |  Time elapsed: 757.43s
Episode #1460  |  Val. Score: +0.10  |  Avg. Val. Score: -0.54  |  Epsilon: 0.437  |  Time elapsed: 764.18s
Episode #1470  |  Val. Score: +0.10  |  Avg. Val. Score: -0.54  |  Epsilon: 0.434  |  Time elapsed: 770.72s
Episode #1480  |  Val. Score: -0.40  |  Avg. Val. Score: -0.54  |  Epsilon: 0.432  |  Time elapsed: 777.25s
Episode #1490  |  Val. Score: -0.70  |  Avg. Val. Score: -0.54  |  Epsilon: 0.430  |  Time elapsed: 783.45s
Episode #1500  |  Val. Score: -0.10  |  Avg. Val. Score: -0.53  |  Epsilon: 0.428  |  Time elapsed: 789.68s
Checkpoint saved!
Episode #1510  |  Val. Score: -0.20  |  Avg. Val. Score: -0.53  |  Epsilon: 0.425  |  Time elapsed: 797.25s
Episode #1520  |  Val. Score: -0.50  |  Avg. Val. Score: -0.52  |  Epsilon: 0.422  |  Time elapsed: 804.96s
Episode #1530  |  Val. Score: +0.00  |  Avg. Val. Score: -0.53  |  Epsilon: 0.419  |  Time elapsed: 812.48s
Episode #1540  |  Val. Score: +0.30  |  Avg. Val. Score: -0.52  |  Epsilon: 0.417  |  Time elapsed: 818.77s
Episode #1550  |  Val. Score: -0.60  |  Avg. Val. Score: -0.52  |  Epsilon: 0.415  |  Time elapsed: 824.92s
Episode #1560  |  Val. Score: +0.00  |  Avg. Val. Score: -0.51  |  Epsilon: 0.413  |  Time elapsed: 829.99s
Episode #1570  |  Val. Score: -0.40  |  Avg. Val. Score: -0.51  |  Epsilon: 0.411  |  Time elapsed: 835.67s
Episode #1580  |  Val. Score: -0.10  |  Avg. Val. Score: -0.50  |  Epsilon: 0.409  |  Time elapsed: 840.36s
Episode #1590  |  Val. Score: -0.90  |  Avg. Val. Score: -0.50  |  Epsilon: 0.407  |  Time elapsed: 846.68s
Episode #1600  |  Val. Score: -0.70  |  Avg. Val. Score: -0.50  |  Epsilon: 0.405  |  Time elapsed: 851.89s
Checkpoint saved!
Episode #1610  |  Val. Score: -0.80  |  Avg. Val. Score: -0.51  |  Epsilon: 0.403  |  Time elapsed: 857.06s
Episode #1620  |  Val. Score: -0.50  |  Avg. Val. Score: -0.51  |  Epsilon: 0.402  |  Time elapsed: 861.88s
Episode #1630  |  Val. Score: -0.90  |  Avg. Val. Score: -0.51  |  Epsilon: 0.400  |  Time elapsed: 867.18s
Episode #1640  |  Val. Score: -0.80  |  Avg. Val. Score: -0.51  |  Epsilon: 0.399  |  Time elapsed: 872.99s
Episode #1650  |  Val. Score: -0.20  |  Avg. Val. Score: -0.50  |  Epsilon: 0.397  |  Time elapsed: 880.29s
Episode #1660  |  Val. Score: -0.70  |  Avg. Val. Score: -0.50  |  Epsilon: 0.395  |  Time elapsed: 886.27s
Episode #1670  |  Val. Score: -0.60  |  Avg. Val. Score: -0.50  |  Epsilon: 0.393  |  Time elapsed: 893.23s
Episode #1680  |  Val. Score: -0.10  |  Avg. Val. Score: -0.50  |  Epsilon: 0.391  |  Time elapsed: 902.15s
Episode #1690  |  Val. Score: -0.70  |  Avg. Val. Score: -0.50  |  Epsilon: 0.388  |  Time elapsed: 907.99s
Episode #1700  |  Val. Score: -0.70  |  Avg. Val. Score: -0.50  |  Epsilon: 0.386  |  Time elapsed: 913.57s
Checkpoint saved!
Episode #1710  |  Val. Score: -0.80  |  Avg. Val. Score: -0.50  |  Epsilon: 0.385  |  Time elapsed: 917.72s
Episode #1720  |  Val. Score: -0.60  |  Avg. Val. Score: -0.50  |  Epsilon: 0.383  |  Time elapsed: 922.58s
Episode #1730  |  Val. Score: -0.60  |  Avg. Val. Score: -0.50  |  Epsilon: 0.382  |  Time elapsed: 927.03s
